OrderID,OrderDate,Category,Product,Region,Channel,PaymentMethod,Quantity,UnitPrice,CostPrice,Revenue,CustomerAge,CustomerRating,OrderYear,OrderMonth,OrderMonthName,TotalCost,Profit,ProfitMarginPct
ORD110433,2023-05-26,Toys,Action Figure,North,In-Store,Credit Card,7,250.84,154.56,1755.88,34,1,2023,5,May,1081.92,673.96,38.38
ORD105861,2024-02-03,Beauty,Perfume,Central,Online,Upi,4,67.34,32.03,269.36,60,3,2024,2,February,128.12,141.24,52.44
ORD107869,2024-03-11,Home & Kitchen,Blender,South,Online,Net Banking,7,364.32,152.05,2550.24,38,5,2024,3,March,1064.35,1485.89,58.26
ORD107371,2023-12-27,Electronics,Usb-C Hub,North,In-Store,Cash,9,489.82,217.55,4408.38,32,4,2023,12,December,1957.95,2450.43,55.59
ORD106699,2024-07-21,Home & Kitchen,Bedsheet Set,South,Online,Net Banking,6,174.52,145.92,1047.12,38,5,2024,7,July,875.52,171.6,16.39
ORD109413,2024-11-27,Beauty,Sunscreen,East,Online,Net Banking,7,236.02,148.17,1652.14,34,2,2024,11,November,1037.19,614.95,37.22
ORD107109,2024-07-03,Beauty,Lipstick,North,In-Store,Credit Card,9,73.71,31.81,663.39,37,3,2024,7,July,286.29,377.1,56.84
ORD100488,2023-08-22,Sports,Dumbbell Set,East,Online,Credit Card,6,268.81,142.4,1612.86,52,4,2023,8,August,854.4,758.46,47.03
ORD106579,2024-12-18,Beauty,Face Serum,Central,Online,Upi,6,414.21,166.1,2485.26,33,3,2024,12,December,996.6,1488.66,59.9
ORD102838,2024-11-19,Sports,Cricket Bat,North,In-Store,Net Banking,9,251.41,205.21,2262.69,30,2,2024,11,November,1846.89,415.8,18.38
ORD110183,2023-10-26,Electronics,Usb-C Hub,East,Online,Debit Card,1,177.07,96.83,177.07,28,4,2023,10,October,96.83,80.24,45.32
ORD101083,2024-03-01,Home & Kitchen,Bedsheet Set,North,Online,Debit Card,3,77.73,41.75,233.19,31,5,2024,3,March,125.25,107.94,46.29
ORD101355,2023-06-21,Clothing,Summer Dress,North,Online,Debit Card,10,340.39,210.62,3403.9,31,4,2023,6,June,2106.2,1297.7,38.12
ORD102610,2024-02-18,Toys,Building Blocks,Central,Online,Upi,9,458.39,236.15,4125.51,44,5,2024,2,February,2125.35,2000.16,48.48
ORD105468,2023-09-23,Sports,Resistance Bands,South,In-Store,Cash,10,278.01,189.1,2780.1,51,1,2023,9,September,1891.0,889.1,31.98
ORD104121,2023-02-02,Electronics,Wireless Mouse,South,In-Store,Credit Card,8,391.56,311.92,3132.48,40,3,2023,2,February,2495.36,637.12,20.34
ORD101689,2024-03-28,Clothing,Running Shoes,North,In-Store,Upi,9,254.55,134.69,2290.95,31,1,2024,3,March,1212.21,1078.74,47.09
ORD102544,2024-01-04,Beauty,Shampoo,East,In-Store,Credit Card,3,41.88,25.3,125.64,38,5,2024,1,January,75.9,49.74,39.59
