OrderID,OrderDate,Category,Product,Region,Channel,PaymentMethod,Quantity,UnitPrice,CostPrice,Revenue,CustomerAge,CustomerRating
ORD110433,05-26-2023,toys ,Action Figure,North,In-Store,Credit Card,7,250.84,154.56,1755.88,34.0,1.0
ORD105861,03/02/2024,Beauty,Perfume,Central,Online,UPI,4 ,67.34,32.03,269.36,60.0,3.0
ORD107869,2024-03-11,Home & Kitchen,Blender,South,Online,Net Banking,7,364.32,152.05,2550.24,,5.0
ORD107371,2023-12-27, Electronics,USB-C Hub,North,In-Store,Cash,9 ,489.82,217.55,4408.38,32.0,4.0
ORD106699,21/07/2024,HOME & KITCHEN,Bedsheet Set,South,Online,Net Banking,6,174.52,,1047.12,999.0,5.0
ORD109413,11-27-2024,BEAUTY,Sunscreen,East,Online,Net Banking,7 ,236.02,148.17,1652.14,34.0,2.0
ORD107109,03-Jul-2024,beauty ,Lipstick,North,In-Store,Credit Card,9,73.71,31.81,663.39,37.0,3.0
ORD100488,2023-08-22,SPORTS,Dumbbell Set,East,Online,Credit Card,6,268.81,142.4,1612.86,52.0,4.0
ORD106579,18-Dec-2024, Beauty,Face Serum,Central,Online,UPI,6,414.21,166.1,2485.26,33.0,3.0
ORD102838,19-Nov-2024,sports ,Cricket Bat,North,In-Store,Net Banking,9,,205.21,3478.95,30.0,2.0
ORD110183,26-Oct-2023, Electronics,USB-C Hub,East,Online,Debit Card,1,177.07,96.83,177.07,28.0,4.0
ORD101083,2024-03-01, Home & Kitchen,Bedsheet Set,North,Online,Debit Card,3,77.73,41.75,233.19,31.0,5.0
ORD101355,06-21-2023,Clothing,Summer Dress,North,Online,Debit Card,10 ,340.39,210.62,3403.9,31.0,4.0
ORD102610,2024-02-18,TOYS,Building Blocks,Central,Online,UPI,9 ,458.39,236.15,4125.51,44.0,5.0
ORD105468,09-23-2023, Sports,Resistance Bands,South,In-Store,Cash,10,$278.01,189.1,2780.1,51.0,1.0
ORD104121,02/02/2023, Electronics,Wireless Mouse,South,In-Store,Credit Card,8,391.56,311.92,3132.48,40.0,3.0
ORD101689,03-28-2024,clothing ,Running Shoes,North,In-Store,UPI,9,254.55,134.69,2290.95,31.0,1.0
ORD102544,04-Jan-2024,Beauty,Shampoo,East,In-Store,Credit Card,3,41.88,25.3,125.64,,5.0
ORD107546,04/09/2024,SPORTS,Yoga Mat,West,In-Store,Cash,7 ,$90.67,58.62,634.69,22.0,5.0
ORD105475,19/09/2024,Home & Kitchen,Storage Boxes,West,Online,Cash,7,243.32,161.06,1703.24,30.0,4.0
